price,quantity,type,timestamp
92221000,0.04300481,bid,1714130102.3289576
92222000,0.01182327,bid,1714130102.3289764
92245000,0.12506173,bid,1714130102.328986
92271000,0.03684293,bid,1714130102.3289938
92277000,0.2319,bid,1714130102.3290005
92278000,0.0816,bid,1714130102.3290086
92289000,0.07592,bid,1714130102.3290226
92291000,0.00038413,bid,1714130102.3290308
92292000,0.08294129,bid,1714130102.3290362
92293000,0.01191857,bid,1714130102.329041
92300000,0.01036149,bid,1714130102.3290455
92303000,0.02245865,bid,1714130102.32905
92319000,0.215,bid,1714130102.3290544
92322000,0.01008867,bid,1714130102.3290591
92333000,0.0015,bid,1714130102.3290837
92181000,0.01422181,ask,1714130102.3290932
92180000,0.00273036,ask,1714130102.3291018
92177000,0.03684293,ask,1714130102.3291104
92176000,0.00433952,ask,1714130102.3291178
92175000,0.08394956,ask,1714130102.329122
92171000,0.00678848,ask,1714130102.3291264
92170000,0.03577497,ask,1714130102.3291304
92169000,0.00108496,ask,1714130102.3291347
92166000,0.00013112,ask,1714130102.329139
92165000,0.00135628,ask,1714130102.3291438
92163000,0.07871265,ask,1714130102.3291478
92160000,0.01202159,ask,1714130102.3291528
92159000,0.01672972,ask,1714130102.3291569
92156000,0.00119284,ask,1714130102.329161
92155000,0.12558804,ask,1714130102.3291652
